| name                   | title                  | level | facing   | categories   | description                                                                                                 | detail                                                                              | remediation                                                                                | metadata                                                              | cache_key                                               |
| ---------------------- | ---------------------- | ----- | -------- | ------------ | ----------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | --------------------------------------------------------------------- | ------------------------------------------------------- |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.study_recommendations\` is public, but RLS has not been enabled.     | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"study_recommendations","type":"table","schema":"public"}     | rls_disabled_in_public_public_study_recommendations     |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.auth_logs\` is public, but RLS has not been enabled.                 | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"auth_logs","type":"table","schema":"public"}                 | rls_disabled_in_public_public_auth_logs                 |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.audit_logs\` is public, but RLS has not been enabled.                | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"audit_logs","type":"table","schema":"public"}                | rls_disabled_in_public_public_audit_logs                |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.user_subject_interactions\` is public, but RLS has not been enabled. | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"user_subject_interactions","type":"table","schema":"public"} | rls_disabled_in_public_public_user_subject_interactions |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.subjects\` is public, but RLS has not been enabled.                  | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"subjects","type":"table","schema":"public"}                  | rls_disabled_in_public_public_subjects                  |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.exams\` is public, but RLS has not been enabled.                     | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"exams","type":"table","schema":"public"}                     | rls_disabled_in_public_public_exams                     |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.questions\` is public, but RLS has not been enabled.                 | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"questions","type":"table","schema":"public"}                 | rls_disabled_in_public_public_questions                 |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.users\` is public, but RLS has not been enabled.                     | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"users","type":"table","schema":"public"}                     | rls_disabled_in_public_public_users                     |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.user_sessions\` is public, but RLS has not been enabled.             | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"user_sessions","type":"table","schema":"public"}             | rls_disabled_in_public_public_user_sessions             |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.comments\` is public, but RLS has not been enabled.                  | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"comments","type":"table","schema":"public"}                  | rls_disabled_in_public_public_comments                  |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.uploads\` is public, but RLS has not been enabled.                   | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"uploads","type":"table","schema":"public"}                   | rls_disabled_in_public_public_uploads                   |
| rls_disabled_in_public | RLS Disabled in Public | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST | Table \`public.user_profiles\` is public, but RLS has not been enabled.             | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public | {"name":"user_profiles","type":"table","schema":"public"}             | rls_disabled_in_public_public_user_profiles             |
